Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  9  9  1  inf  inf  0  
2  16  7  1  inf  inf  0  
3  19  3  1  inf  inf  0  
4  22  3  1  inf  inf  0  
5  24  2  1  inf  inf  0  
6  26  2  1  inf  inf  0  
7  28  2  1  inf  inf  0  
8  30  2  1  inf  inf  0  
9  32  2  1  inf  inf  0  
10  34  2  1  inf  inf  0  
11  36  2  1  inf  inf  0  
12  38  2  1  inf  inf  0  
13  40  2  1  inf  inf  0  
14  42  2  1  inf  inf  0  
15  44  2  1  inf  inf  0  
16  46  2  1  inf  inf  0  
17  48  2  1  inf  inf  0  
18  50  2  1  inf  inf  0  
19  52  2  1  inf  inf  0  
20  54  2  1  inf  inf  0  
